ID,TIRE,TPOP,NGRW,PGRW,OCTY,OPOP,LANDV,ELD,FFRAC,PINC,LNHDD
380029,2,1.561,-0.134,0,0.13,0.17989999,0.25299999,0.15518121,0.90700001,4.6919999,9.1132784
380033,2,1.381,-0.027000001,0,0.064999998,0.07147,0.2,0.16143873,0.82800001,6.2389998,9.1132784
380057,6,5.2729998,0,2.6889999,0.266,0.1045,0.243,0.10219055,0.824,7.0710001,9.1132784
380069,3,3.335,0,0.44600001,0.15000001,0.19239999,0.28099999,0.18066818,0.90399998,5.2789998,9.1500597
380075,1,1.049,0,0.098999999,0.20299999,0.16339999,0.34400001,0.17405765,0.95499998,5.73,9.1500597
380083,0,0.65799999,-0.006,0,0.177,0.16960001,0.27500001,0.16211422,0.87699997,4.9359999,9.1132784
380085,1,0.77100003,-0.382,0,0.046999998,0.1838,0.127,0.054143645,0.97100002,3.642,9.1132784
380095,3,1.4960001,-0.016000001,0,0.11,0.18689999,0.40599999,0.19792695,0.94800001,6.2119999,9.1500597
380103,5,2.527,0,0.16599999,0.199,0.2419,0.37599999,0.20246454,0.977,5.52,9.1132784
400007,2,1.939,0,0.086000003,0.55800003,0.1806,0.25600001,0.14325595,0.95599997,7.2589998,8.2332373
400025,3,1.761,-0.23199999,0,0.068999998,0.30939999,0.199,0.15323465,0.90700001,6.138,8.2332373
400045,2,1.7589999,0,0.213,0.43599999,0.1107,0.30700001,0.18656182,0.89300001,6.8169999,8.2332373
410049,1,1.498,0,0.068999998,0.43700001,0.22230001,0.28600001,0.093230486,0.88300002,7.1479998,8.4534006
410063,1,2.003,0,0.32300001,0.052000001,0.10919999,0.273,0.14849444,0.384,6.277,8.4534006
410069,0,0.53500003,0,0.024,0.039999999,0.04555,0.097000003,0.1731659,0.73100001,5.4889998,8.4534006
460007,0,1.018,-0.23,0,0.075999998,0.1249,0.155,0.10611038,1.062,3.9649999,8.8957663
460015,2,2.2579999,-0.368,0,0.17900001,0.5266,0.23199999,0.14528123,0.87900001,4.6690001,8.9727173
460025,0,1.351,-0.005,0,0.142,0.23639999,0.29699999,0.18818963,0.92799997,4.6339998,9.0560226
460031,0,0.41800001,-0.145,0,0.206,0.1445,0.131,0.082563512,0.98799998,3.5209999,9.0560226
460037,0,2.4170001,0,0.16500001,0.192,0.36840001,0.30399999,0.19869667,0.90700001,4.8249998,9.0560226
460041,1,0.66000003,0,0.035,0.079999998,0.1453,0.163,0.085911296,1.067,3.9430001,9.0560226
460049,1,0.98100001,0,0.026000001,0.07,0.1516,0.233,0.17853923,0.93900001,4.3239999,9.0560226
460055,0,1.0880001,0,0.105,0.035,0.042410001,0.155,0.12848961,1,4.9239998,8.8957663
460063,1,0.45300001,0,0.059999999,0.02,0.036910001,0.13600001,0.13117647,0.93599999,5.132,8.8957663
460073,0,1.2029999,-0.097000003,0,0.071999997,0.1398,0.241,0.2004097,0.94099998,4.7940001,8.9727173
460075,1,0.72299999,-0.142,0,0.01,0.078539997,0.17900001,0.15174299,0.87400001,5.171,8.8957663
